item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
Alpinestars T SP-5 Rideknit Jacket (X-LARGE) (BLACK/CAMO)		1006AXED2QP	28205569		0	2023-10-06 08:20:28 PDT		y	1			11				B08WM3LGVG						B08WM3LGVG			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T SP-5 Rideknit Jacket (XX-LARGE) (BLACK/CAMO)		1006AXAMCOC	28205570		0	2023-10-06 08:20:28 PDT		y	1			11				B08WM4MNRT						B08WM4MNRT			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T SP-5 Rideknit Jacket (XXX-LARGE) (BLACK/CAMO)		1006AXF5IBD	28205571		0	2023-10-06 08:20:28 PDT		y	1			11				B08WM45J5V						B08WM45J5V			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T SP-5 Rideknit Textile Men's Street Motorcycle Jackets - Black/Camo / 4X-Large		1006AXABPOD	28205572		0	2023-10-06 08:20:28 PDT		y	1			11				B091NLPYJ8						B091NLPYJ8			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T SP-5 Rideknit Jacket (MEDIUM) (MILITARY GREEN/CAMO/BLACK)		1006AX7EU8N	28205574		0	2023-10-06 08:20:28 PDT		y	1			11				B08WM48L8W						B08WM48L8W			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T SP-5 Rideknit Jacket (LARGE) (MILITARY GREEN/CAMO/BLACK)		1006AX7AWFO	28205575		0	2023-10-06 08:20:28 PDT		y	1			11				B08WM3WLYL						B08WM3WLYL			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T SP-5 Rideknit Jacket (X-LARGE) (MILITARY GREEN/CAMO/BLACK)		1006AXA7KEB	28205576		0	2023-10-06 08:20:28 PDT		y	1			11				B08WM4L6MH						B08WM4L6MH			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T SP-5 Rideknit Jacket (XX-LARGE) (MILITARY GREEN/CAMO/BLACK)		1006AXF5ICP	28205577		0	2023-10-06 08:20:28 PDT		y	1			11				B08WM3RLZQ						B08WM3RLZQ			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T SP-5 Rideknit Jacket (XXX-LARGE) (MILITARY GREEN/CAMO/BLACK)		1006AX9W2I0	28205578		0	2023-10-06 08:20:28 PDT		y	1			11				B08WM49ZXS						B08WM49ZXS			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T SP-5 Rideknit Jacket (XXXX-LARGE) (MILITARY GREEN/CAMO/BLACK)		1006AXC6D6Z	28205579		0	2023-10-06 08:20:28 PDT		y	1			11				B08WM4GV92						B08WM4GV92			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Chrome Sport Hoodie (Black/Forest, S)		1006AXAZ1DO	28205580		0	2023-10-06 08:57:10 PDT		y	1			11				B08WJNH3GC						B08WJNH3GC			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Chrome Sport Hoodie (Black/Forest, M)		1006AXAUY8X	28205581		0	2023-10-06 08:57:10 PDT		y	1			11				B08WJMQ98N						B08WJMQ98N			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Chrome Sport Hoodie (Black/Forest, L)		1006AXEKVJS	28205582		0	2023-10-06 08:57:10 PDT		y	1			11				B08WJMN48R						B08WJMN48R			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Chrome Sport Hoodie (Black/Forest, XL)		1006AXF9FHD	28205583		0	2023-10-06 08:57:10 PDT		y	1			11				B08WJMQ82K						B08WJMQ82K			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Chrome Sport Hoodie (Black/Forest, 2XL)		1006AX4E44K	28205584		0	2023-10-06 08:57:10 PDT		y	1			11				B08WJMFJDR						B08WJMFJDR			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Chrome Sport Hoodie (Black/Forest, 3XL)		1006AX7TGDH	28205585		0	2023-10-06 08:57:10 PDT		y	1			11				B08WJMK7YC						B08WJMK7YC			0	DEFAULT	Migrated Template	Incomplete
